step,habit_index,exploration_diversity,preference_stability
33100,0.5184,77.56,0.00
33200,1.4473,77.56,0.00
33300,0.9954,77.56,0.00
33400,0.7780,77.56,0.00
33500,-0.0000,77.56,0.00
33600,-0.0000,77.56,0.00
33700,0.6628,77.56,0.00
33800,0.6343,77.56,0.00
33900,-0.0000,77.56,0.00
34000,-0.0000,77.56,0.00
34100,0.7720,77.56,0.00
34200,0.5294,77.56,0.00
34300,1.2206,77.56,0.00
34400,0.4906,77.56,0.00
34500,0.4744,77.56,0.00
34600,0.5043,77.56,0.00
34700,0.5120,77.56,0.00
34800,0.5000,77.56,0.00
34900,0.4744,77.56,0.00
35000,1.9658,77.56,0.00
35100,1.5649,77.56,0.00
35200,1.3610,77.56,0.00
35300,0.2687,77.56,0.00
35400,-0.0000,77.56,0.00
35500,0.0808,77.56,0.00
35600,0.5574,77.56,0.00
35700,1.0496,77.56,0.00
35800,-0.0000,77.56,0.00
35900,0.9815,77.56,0.00
36000,0.9997,77.56,0.00
36100,1.4003,77.56,0.00
36200,1.3932,77.56,0.00
36300,0.9044,77.56,0.00
36400,0.8932,77.56,0.00
36500,0.9988,77.56,0.00
36600,1.4270,77.56,0.00
36700,1.4561,77.56,0.00
36800,-0.0000,77.56,0.00
36900,1.5084,77.96,0.00
37000,0.4349,78.72,0.00
37100,-0.0000,79.08,0.00
37200,-0.0000,79.08,0.00
37300,-0.0000,79.08,0.00
37400,-0.0000,79.32,0.00
37500,0.0000,7.40,0.00
37600,1.2075,28.08,0.00
37700,1.5725,35.24,0.00
37800,0.7219,37.44,0.00
37900,1.1261,37.60,0.00
38000,1.5667,40.52,0.00
38100,1.1131,43.92,0.00
38200,0.3694,43.92,0.00
38300,0.5083,43.96,0.00
38400,0.5083,43.96,0.00
38500,0.5274,44.00,0.00
38600,0.3871,44.04,0.00
38700,0.5083,44.04,0.00
38800,0.5083,44.04,0.00
38900,0.5298,44.24,0.00
39000,0.4854,44.40,0.00
39100,0.5083,44.40,0.00
39200,0.5083,44.40,0.00
39300,0.5288,44.40,0.00
39400,0.4350,44.40,0.00
39500,0.5083,44.40,0.00
39600,0.7455,24.12,0.00
39700,0.5679,29.08,0.00
39800,1.9967,34.28,0.00
39900,0.9596,43.96,0.00
40000,1.6368,47.64,0.00
40100,1.3502,48.24,0.00
40200,0.6628,49.24,0.00
40300,1.7934,50.04,0.00
40400,0.3412,50.76,0.00
40500,1.7870,50.80,0.00
40600,1.4625,51.56,0.00
40700,1.1272,51.92,0.00
40800,0.8113,51.92,0.00
40900,0.9587,51.92,0.00
41000,0.0808,51.92,0.00
41100,0.2423,51.92,0.00
41200,-0.0000,51.92,0.00
41300,1.1873,51.96,0.00
41400,0.4938,26.84,0.00
41500,1.4523,39.12,0.00
41600,1.6742,44.92,0.00
41700,1.3354,46.52,0.00
41800,0.9710,46.56,0.00
41900,0.0808,46.56,0.00
42000,1.3562,47.20,0.00
42100,1.4463,47.28,0.00
42200,0.1414,47.28,0.00
42300,-0.0000,47.28,0.00
42400,0.0808,55.28,0.00
42500,1.8987,56.88,0.00
42600,0.5964,58.16,0.00
42700,0.9936,61.24,0.00
42800,0.5043,61.56,0.00
42900,0.5274,61.64,0.00
43000,0.4491,61.88,0.00
43100,0.8029,61.92,0.00
43200,1.7065,62.48,0.00
43300,1.2995,65.72,0.00
43400,0.5000,17.52,0.00
43500,1.2878,31.92,0.00
43600,1.6150,36.60,0.00
43700,0.0144,42.68,0.00
43800,1.4651,44.16,0.00
43900,1.1072,45.68,0.00
44000,1.7884,54.72,0.00
44100,1.5986,57.28,0.00
44200,1.1045,57.60,0.00
44300,1.5069,57.88,0.00
44400,0.5403,57.92,0.00
44500,1.8443,57.96,0.00
44600,1.0001,57.96,0.00
44700,0.5964,57.96,0.00
44800,0.5120,57.96,0.00
44900,0.4800,57.96,0.00
45000,0.5083,57.96,0.00
45100,0.4854,57.96,0.00
45200,0.4906,57.96,0.00
45300,0.4623,57.96,0.00
45400,0.5153,57.96,0.00
45500,0.4854,57.96,0.00
45600,0.5000,57.96,0.00
45700,0.3467,24.68,0.00
45800,0.4199,29.92,0.00
45900,0.9899,41.76,0.00
46000,1.7451,55.48,0.00
46100,1.8596,60.20,0.00
46200,-0.0000,60.80,0.00
46300,-0.0000,60.88,0.00
46400,0.6098,60.88,0.00
46500,0.4073,60.92,0.00
46600,0.9648,61.04,0.00
46700,0.9044,62.92,0.00
46800,1.2020,64.40,0.00
46900,1.0738,71.68,0.00
47000,0.4121,73.00,0.00
47100,1.0212,75.84,0.00
47200,0.4369,77.72,0.00
47300,1.4828,78.12,0.00
47400,1.3690,78.16,0.00
47500,0.5307,17.80,0.00
47600,1.3859,28.72,0.00
47700,1.8700,41.20,0.00
47800,1.2207,43.56,0.00
47900,0.4906,43.92,0.00
48000,0.4906,43.96,0.00
48100,0.5236,43.96,0.00
48200,0.8558,44.08,0.00
48300,0.3729,44.32,0.00
48400,2.0350,45.00,0.00
48500,2.1541,45.04,0.00
48600,1.5420,52.52,0.00
48700,0.7966,66.08,0.00
48800,1.4631,78.44,0.00
48900,1.2528,81.56,0.00
49000,1.3861,81.96,0.00
49100,1.6136,82.36,0.00
49200,1.4599,83.28,0.00
49300,1.0248,83.36,0.00
49400,1.3784,83.44,0.00
49500,1.9505,85.32,0.00
49600,0.8215,85.36,0.00
49700,1.8326,23.04,0.00
49800,1.4615,32.12,0.00
49900,0.9313,34.88,0.00
50000,1.2587,35.72,0.00
50100,1.4807,36.12,0.00
50200,-0.0000,36.12,0.00
50300,-0.0000,36.12,0.00
50400,-0.0000,36.12,0.00
50500,-0.0000,36.20,0.00
50600,1.0854,19.72,0.00
50700,2.2196,30.80,0.00
50800,1.2290,44.92,0.00
50900,0.9648,52.20,0.00
51000,1.0260,54.56,0.00
51100,0.4690,54.88,0.00
51200,-0.0000,54.88,0.00
51300,1.3012,55.48,0.00
51400,-0.0000,55.64,0.00
51500,-0.0000,56.00,0.00
51600,-0.0000,56.08,0.00
51700,1.0002,58.76,0.00
51800,1.6542,70.44,0.00
51900,0.7080,73.44,0.00
52000,0.5222,74.04,0.00
52100,0.9277,74.96,0.00
52200,1.5673,75.88,0.00
52300,1.7109,77.28,0.00
52400,1.4510,77.80,0.00
52500,1.5492,78.36,0.00
52600,1.5652,79.24,0.00
52700,1.6927,81.24,0.00
52800,0.0000,13.24,0.00
52900,0.3602,27.92,0.00
53000,1.7727,37.16,0.00
53100,1.5331,45.72,0.00
53200,1.9226,47.80,0.00
53300,0.5465,48.76,0.00
53400,0.9596,49.20,0.00
53500,1.2530,56.12,0.00
53600,1.6488,60.76,0.00
53700,1.5864,74.68,0.00
53800,0.9315,78.88,0.00
53900,1.2174,80.44,0.00
54000,1.8296,81.92,0.00
54100,2.1856,82.92,0.00
54200,0.9564,83.16,0.00
54300,1.5018,83.24,0.00
54400,0.2864,83.24,0.00
54500,1.2545,83.24,0.00
54600,0.8932,83.40,0.00
54700,0.8374,86.64,0.00
54800,1.2145,86.68,0.00
54900,1.9411,86.68,0.00
55000,0.6343,92.60,0.00
55100,0.6577,93.32,0.00
55200,1.9616,31.32,0.00
55300,0.6037,35.12,0.00
55400,1.0659,41.80,0.00
55500,0.4690,50.72,0.00
55600,-0.0000,52.68,0.00
55700,-0.0000,53.00,0.00
55800,0.9996,66.64,0.00
55900,0.8932,70.96,0.00
56000,1.8103,73.00,0.00
56100,0.6282,73.24,0.00
56200,1.3773,73.96,0.00
56300,1.1764,77.56,0.00
56400,0.8137,79.04,0.00
56500,0.7206,79.48,0.00
56600,1.1275,79.52,0.00
56700,1.1525,79.52,0.00
56800,1.0760,79.56,0.00
56900,1.2743,79.56,0.00
57000,0.3274,79.56,0.00
57100,1.4790,79.56,0.00
57200,0.9815,79.60,0.00
57300,0.3956,24.48,0.00
57400,0.3568,31.96,0.00
57500,1.4426,46.76,0.00
57600,1.6311,57.16,0.00
57700,1.5537,62.44,0.00
57800,1.6268,71.48,0.00
57900,0.3009,72.84,0.00
58000,1.5271,73.96,0.00
58100,2.1749,79.48,0.00
58200,0.9930,80.48,0.00
58300,0.8367,80.80,0.00
58400,1.3766,81.20,0.00
58500,2.0255,82.84,0.00
58600,0.5120,82.84,0.00
58700,0.5256,82.84,0.00
58800,1.7263,28.24,0.00
58900,1.8525,32.72,0.00
59000,1.6747,34.04,0.00
59100,1.7195,34.72,0.00
59200,1.9078,35.12,0.00
59300,1.9435,35.96,0.00
59400,2.4142,36.16,0.00
59500,0.3874,37.28,0.00
59600,-0.0000,38.08,0.00
59700,-0.0000,38.28,0.00
59800,-0.0000,38.44,0.00
59900,-0.0000,38.48,0.00
60000,-0.0000,38.48,0.00
60100,-0.0000,39.20,0.00
60200,0.7415,39.92,0.00
60300,-0.0000,39.96,0.00
60400,-0.0000,39.96,0.00
60500,0.0000,7.84,0.00
60600,0.8622,26.48,0.00
60700,1.9093,28.56,0.00
60800,0.6588,39.52,0.00
60900,1.1246,42.32,0.00
61000,0.4040,42.48,0.00
61100,0.5120,42.56,0.00
61200,0.5083,42.60,0.00
61300,0.5307,42.68,0.00
61400,0.4491,42.72,0.00
61500,0.5083,42.72,0.00
61600,0.5153,42.80,0.00
61700,1.2606,43.16,0.00
61800,1.5713,47.08,0.00
61900,0.9580,50.16,0.00
62000,0.6305,52.16,0.00
62100,1.7029,53.32,0.00
62200,2.1328,57.80,0.00
62300,0.9507,59.76,0.00
62400,0.8415,60.24,0.00
62500,1.6602,60.32,0.00
62600,0.4800,60.32,0.00
62700,0.9682,60.32,0.00
62800,0.7186,60.32,0.00
62900,0.9896,60.60,0.00
63000,1.6910,60.60,0.00
63100,0.8226,25.36,0.00
63200,1.0086,38.88,0.00
63300,1.4267,49.96,0.00
63400,-0.0000,50.32,0.00
63500,-0.0000,52.16,0.00
63600,-0.0000,52.48,0.00
63700,0.3792,54.08,0.00
63800,1.0255,58.56,0.00
63900,-0.0000,58.72,0.00
64000,-0.0000,58.80,0.00
64100,0.1944,58.80,0.00
64200,-0.0000,58.80,0.00
64300,1.5161,58.84,0.00
64400,0.2864,61.40,0.00
64500,1.6248,70.12,0.00
64600,1.8332,71.36,0.00
64700,0.9397,73.40,0.00
64800,1.7719,73.44,0.00
64900,1.4223,74.00,0.00
65000,1.7318,74.08,0.00
65100,1.4426,75.88,0.00
65200,1.2539,77.04,0.00
65300,0.9277,27.28,0.00
65400,1.3075,29.44,0.00
65500,1.2272,30.48,0.00
65600,0.2423,30.48,0.00
65700,0.4999,30.88,0.00
65800,0.9427,30.92,0.00
65900,-0.0000,30.92,0.00
66000,-0.0000,30.92,0.00
66100,1.4033,35.24,0.00
66200,0.0144,41.60,0.00
66300,1.5877,42.44,0.00
66400,1.4734,43.68,0.00
66500,1.4848,43.68,0.00
66600,0.2657,43.68,0.00
66700,1.6742,46.44,0.00
66800,1.4378,48.24,0.00
66900,0.7839,48.96,0.00
67000,0.4558,48.96,0.00
67100,0.4906,49.12,0.00
67200,0.5083,49.12,0.00
67300,0.4558,49.12,0.00
67400,0.7114,49.20,0.00
67500,0.5043,49.20,0.00
